features,nn,acc_mean,acc_std,f1_mean,f1_std,above_73,avg_acc_above_73
X3,6,0.5142615384615385,0.0781201789991798,0.3857786543965462,0.2110936414927348,0.0,0.0028757448262095586
X3,7,0.5327692307692309,0.0850894412824028,0.4979426224840633,0.1686860606413737,0.01,0.010226754307303021
X3,8,0.5219076923076924,0.0712841202429865,0.4265192838173408,0.1857767021698776,0.0,0.001754678350761929
X3,9,0.5302769230769232,0.0843312375880734,0.5065921269800547,0.1689332499405205,0.01,0.008934616635692061
X3,10,0.5288307692307693,0.0794789600382226,0.472131128409482,0.169236860199493,0.0,0.005685264156449987
X3,11,0.5339076923076923,0.0724757196640944,0.5291500996797923,0.1310773153070255,0.0,0.0034087725145832692
X3,12,0.5424923076923077,0.073926168189588,0.5031575862983881,0.1339269074504273,0.0,0.0055996421747248615
X3,13,0.5454461538461539,0.0736309106688024,0.5577871223576,0.1003011143108071,0.01,0.006097128692440834
X3,14,0.5662461538461538,0.0744754659574936,0.5464615692752024,0.1082320579929562,0.01,0.013947414557313076
X3,15,0.5485846153846154,0.0797642027938427,0.5575276555892221,0.1090133959041126,0.02,0.011471093552867018
X5,1,0.5232615384615386,0.0934081278219153,0.4799411695647672,0.2179837422904681,0.0,0.013439129398188698
X5,2,0.5152307692307694,0.0890125980047223,0.3568969944133408,0.2201867627764349,0.0,0.007915341002453391
X5,3,0.5221538461538462,0.0955214898836162,0.4665819267686221,0.1836567719307347,0.0,0.014780999844874576
X5,4,0.5229384615384616,0.0875291586242405,0.3594510351375408,0.2282364249697808,0.0,0.008999729475065
X5,5,0.5264615384615385,0.0881794834515101,0.4283730327185085,0.2057693470575279,0.0,0.01049319500452528
X5,6,0.5164923076923077,0.0918164054387466,0.3594641167585112,0.2137172032738125,0.0,0.01002592405864755
X5,7,0.5327538461538461,0.0932750072755211,0.4365349238462853,0.1777210737842837,0.01,0.01722890697636481
X5,8,0.530723076923077,0.0934124796852473,0.3880711877597358,0.1886250976734974,0.01,0.016450026936427165
X5,9,0.5346307692307692,0.0991961764390056,0.4459117411968765,0.1464723435849209,0.02,0.024446485913757976
X5,10,0.5371230769230769,0.1004717052223951,0.422430089542231,0.1577968405936821,0.02,0.027447027530173695
X5,11,0.5256000000000001,0.100416297977013,0.4489564043181435,0.13980305489802,0.02,0.020898980250434462
X5,12,0.5410461538461538,0.0911236574482475,0.4342373421844951,0.1350405714236093,0.01,0.019058324273442895
X5,13,0.527076923076923,0.0951498351247145,0.457986447539606,0.13546503158923,0.01,0.01647595588747852
X5,14,0.5390153846153848,0.0913661001704408,0.4446008525132686,0.137678975142224,0.0,0.018294419491852953
X5,15,0.531123076923077,0.089716675671199,0.4702699048685101,0.1400337540210746,0.0,0.013321049386048167
X6,1,0.5335846153846154,0.0917008398198655,0.5287475095147333,0.2294955048492056,0.01,0.016100169942064424
X6,2,0.4880615384615385,0.0691511063032152,0.2187310219805443,0.2765860953035685,0.0,0.00023377266847790512
X6,3,0.5344615384615384,0.1022321294115683,0.49027686477602,0.2643189976703418,0.01,0.02789381872715213
X6,4,0.5168,0.0863502376968115,0.3329895444594965,0.3003935552388845,0.0,0.006774283996835995
X6,5,0.5453230769230769,0.0926681219643646,0.5140203541915597,0.2396091982371371,0.02,0.023137013021029995
X6,6,0.5155846153846153,0.0856506334239108,0.37338840476455,0.2767233445994785,0.01,0.006150811052413774
X6,7,0.5506,0.0873214546930142,0.5388937763703661,0.2165810583390109,0.01,0.019964729476089738
X6,8,0.5361692307692307,0.0878380691416457,0.4697940794493286,0.2568088309373226,0.0,0.013668108736017426
X6,9,0.5654307692307691,0.0933402391077202,0.5953675946265222,0.1743609361851565,0.02,0.03894085946510284
X6,10,0.5476,0.0908872296899298,0.5510584631337556,0.1955290173616689,0.01,0.02238108239139236
X6,11,0.5715230769230769,0.082697851692509,0.6225782752994504,0.1483725412180925,0.0,0.027661130117985766
